"Zone ID";"Zone Name";"District ID";"District Name";"Site ID";"Site Code";"Site Name";"Site Type";"Latitude";"Longitude"
"A";"Busia";1;"Bunyala";1;"A01001";"Port Victoria";"Sub-District Hospital/Ccc";0.09703;33.97586
"A";"Busia";1;"Bunyala";2;"A01002";"Budalangi";"Dispensary";0.13055;34.02778
"A";"Busia";1;"Bunyala";3;"A01003";"Sisenye";"Dispensary";0.14121;34.01444
"A";"Busia";1;"Bunyala";4;"A01004";"Sirimba";"Mission Dispensary";0.14435;34.05834
"A";"Busia";1;"Bunyala";5;"A01005";"Mukhobola ";"H/C";0.08166;34.02995
"A";"Busia";1;"Bunyala";6;"A01006";"Rukala";"Dispensary";0.05638;33.99227
"A";"Busia";1;"Bunyala";7;"A01007";"Mau Mau";"Shopping Centre";0.07069;33.98925
"A";"Busia";1;"Bunyala";8;"A01008";"Makunda ";"Sec School";0.08732;34.02248
"A";"Busia";1;"Bunyala";9;"A01009";"Bulemia";"Shopping Centre";0.11475;34.00094
"A";"Busia";1;"Bunyala";10;"A01010";"Nabengele";"Shopping Centre";0.15934;34.06269
"A";"Busia";2;"Samia";11;"A02011";"Sio Port";"Dispensary";0.22512;34.217
"A";"Busia";2;"Samia";12;"A02012";"Agenga";"Dispensary";0.25273;34.07073
"A";"Busia";2;"Samia";13;"A02013";"Nangina";"Dispensary";0.27736;34.09875
"A";"Busia";2;"Samia";14;"A02014";"Namboboto";"Dispensary";0.30428;34.09181
"A";"Busia";2;"Samia";15;"A02015";"Nambuku";"Dispensary";0.31829;34.11036
"A";"Busia";2;"Samia";16;"A02016";"Kabuodo";"Dispensary";0.30464;34.15932
"A";"Busia";2;"Samia";17;"A02017";"Wakhungu";"Dispensary";0.26889;34.13156
"A";"Busia";2;"Samia";18;"A02018";"Ack Funyula";"Church";0.27712;34.11832
"A";"Busia";2;"Samia";19;"A02019";"Buduta";"Dispensary";0.22208;34.10933
"A";"Busia";2;"Samia";20;"A02020";"Rumbiye";"Dispensary";0.20378;34.09579
"A";"Busia";2;"Samia";21;"A02021";"Namuduru";"Dispensary";0.16726;34.09734
"A";"Busia";2;"Samia";22;"A02022";"Nabuganda";"Dispensary";0.17937;34.03769
"A";"Busia";2;"Samia";23;"A02023";"Nanderema";"Chiefs Office";0.20491;34.06801
"A";"Busia";2;"Samia";24;"A02024";"Busembe";"Dispensary";0.1853;34.01623
"A";"Busia";2;"Samia";25;"A02025";"Sio Port";"Dispensary";0.22511;34.02171
"A";"Busia";2;"Samia";26;"A02026";"Agenga";"Dispensary";0.25271;34.07073
"A";"Busia";2;"Samia";27;"A02027";"Nangina";"Dispensary";0.27736;34.09874
"A";"Busia";2;"Samia";28;"A02028";"Namboboto";"Dispensary";0.30431;34.09182
"A";"Busia";2;"Samia";29;"A02029";"Nambuku";"Dispensary";0.31828;34.11034
"A";"Busia";2;"Samia";30;"A02030";"Kabuodo";"Dispensary";0.30459;34.15934
"A";"Busia";2;"Samia";31;"A02031";"Wakhungu";"Dispensary";0.26834;34.13161
"A";"Busia";2;"Samia";32;"A02032";"Ack Funyula";"Church";0.27702;34.11828
"A";"Busia";2;"Samia";33;"A02033";"Buduta";"Dispensary";0.22208;34.10934
"A";"Busia";2;"Samia";34;"A02034";"Rumbiye";"Dispensary";0.20379;34.09577
"A";"Busia";2;"Samia";35;"A02035";"Namuduru";"Dispensary";0.16724;34.09731
"A";"Busia";2;"Samia";36;"A02036";"Nabuganda";"Dispensary";0.17936;34.03766
"A";"Busia";2;"Samia";37;"A02037";"Nanderema";"Chiefs Office";0.20511;34.06807
"A";"Busia";2;"Samia";38;"A02038";"Busembe";"Dispensary";0.18529;34.01623
"A";"Busia";3;"Busia";39;"A03039";"Busia(Ampath)";"Ccc";0.45993;34.10446
"A";"Busia";3;"Busia";40;"A03040";"Trailer Park";"Clinic";0.4638;34.09989
"A";"Busia";3;"Busia";41;"A03041";"Tanaka";"N.Home";0.45273;34.12466
"A";"Busia";3;"Busia";42;"A03042";"Busia GK Prison";"Disp";0.4459;34.14502
"A";"Busia";3;"Busia";43;"A03043";"Bukalama(New)";"Disp";0.45067;34.18741
"A";"Busia";3;"Busia";44;"A03044";"Nasira ACK";"Church";0.43124;34.20234
"A";"Busia";3;"Busia";45;"A03045";"Busibwabo";"Disp";0.41063;34.20117
"A";"Busia";3;"Busia";46;"A03046";"Nambale";"H/C";0.4558;34.2388
"A";"Busia";3;"Busia";47;"A03047";"Segero Catholic";"Church";0.49981;34.26686
"A";"Busia";3;"Busia";48;"A03048";"Lupida";"H/C";0.57719;34.34256
"A";"Busia";3;"Busia";49;"A03049";"Dulienge";"School";0.56467;34.36181
"A";"Busia";3;"Busia";50;"A03050";"Igara";"Disp";0.53279;34.3632
"A";"Busia";3;"Busia";51;"A03051";"Madibo Ass Chiefs'";"Office";0.52508;34.38849
"A";"Busia";3;"Busia";52;"A03052";"Khayo";"Disp";0.51051;34.38895
"A";"Busia";3;"Busia";53;"A03053";"Madende";"Disp";0.4767;34.34653
"A";"Busia";3;"Busia";54;"A03054";"Mungatsi Ass Chiefs'";"Office";0.47074;34.31552
"A";"Busia";3;"Busia";55;"A03055";"Your Family";"Clinic";0.41394;34.14665
"A";"Busia";3;"Busia";56;"A03056";"Munongo";"Disp";0.38101;34.12121
"A";"Busia";3;"Busia";57;"A03057";"Mayenje Ass Chiefs'";"Office";0.41876;34.10555
"A";"Busia";3;"Busia";58;"A03058";"New Busia-Bulanda";"N.Home";0.45245;34.10208
"A";"Busia";3;"Busia";59;"A03059";"Malanga";"Disp";0.40361;34.29635
"A";"Busia";3;"Busia";60;"A03060";"Lwanyange(New)";"Disp";0.42945;34.27544
"A";"Busia";3;"Busia";61;"A03061";"Buyende";"School";0.38384;34.13527
"A";"Busia";3;"Busia";62;"A03062";"Matayos Community";"Clinic";0.36716;34.16359
"A";"Busia";3;"Busia";63;"A03063";"Mabunge Chiefs'";"Office";0.40359;34.26197
"A";"Busia";3;"Busia";64;"A03064";"St Claires Kisoko";"Disp";0.44926;34.28005
"A";"Busia";3;"Busia";65;"A03065";"Nambale REEP";"Y.F Centre";0.4514;34.2546
"A";"Busia";3;"Busia";66;"A03066";"Nasewa";"H/C";0.38601;34.23896
"A";"Busia";3;"Busia";67;"A03067";"Matayos";"H/C";0.35663;34.17151
"A";"Busia";3;"Busia";68;"A03068";"Bumala ""A""";"H/C";0.29162;34.19205
"A";"Busia";3;"Busia";69;"A03069";"Busire ACK";"Church";0.31014;34.19975
"A";"Busia";3;"Busia";70;"A03070";"Bujumba";"Disp";0.32255;34.2142
"A";"Busia";3;"Busia";71;"A03071";"Burinda";"Disp";0.30773;34.2215
"A";"Busia";3;"Busia";72;"A03072";"Ikonzo";"Disp";0.34385;34.22547
"A";"Busia";3;"Busia";73;"A03073";"Namwitsula";"School";0.36079;34.2098
"A";"Busia";3;"Busia";74;"A03074";"Khunyangu(Ampath)";"Ccc";0.33745;34.25792
"A";"Busia";3;"Busia";75;"A03075";"Bumutiru";"Disp";0.37618;34.26419
"A";"Busia";3;"Busia";76;"A03076";"Sikoma ACK";"Church";0.34421;34.27718
"A";"Busia";3;"Busia";77;"A03077";"Bukhalalire";"Disp";0.31826;34.27498
"A";"Busia";3;"Busia";78;"A03078";"Butula REEP";"YF Centre";0.34136;34.33217
"A";"Busia";3;"Busia";79;"A03079";"Butula Miss";"H/C";0.34208;34.33237
"A";"Busia";3;"Busia";80;"A03080";"Sikarira";"Disp";0.32417;34.3267
"A";"Busia";3;"Busia";81;"A03081";"Masindabale";"Disp";0.32557;34.37383
"A";"Busia";3;"Busia";82;"A03082";"Musibiriri";"Disp";0.34387;34.39288
"A";"Busia";3;"Busia";83;"A03083";"Ogalo Calvary";"Church";0.36028;34.40425
"A";"Busia";3;"Busia";84;"A03084";"Bumala ""B""";"H/C";0.39004;34.35003
"A";"Busia";3;"Busia";85;"A03085";"Esibembe";"School";0.40862;34.31508
"A";"Busia";3;"Busia";86;"A03086";"Bwaliro";"Disp";0.37811;34.31705
"A";"Busia";4;"Teso";87;"A04087";"Tdh";"Hospital";0.62061;34.3453
"A";"Busia";4;"Teso";88;"A04088";"Malaba Dispensary";"H/Facility";0.63626;34.28687
"A";"Busia";4;"Teso";89;"A04089";"Kamuriai H/C";"H/Facility";0.66466;34.29915
"A";"Busia";4;"Teso";90;"A04090";"Akichelesit Disp.";"H/Facility";0.69134;34.34323
"A";"Busia";4;"Teso";91;"A04091";"Angurai  H/C";"H/Facility";0.70932;34.35152
"A";"Busia";4;"Teso";92;"A04092";"Aboloi";"H/Facility";0.65446;34.39331
"A";"Busia";4;"Teso";93;"A04093";"Kolanya";"H/Facility";0.70572;34.39703
"A";"Busia";4;"Teso";94;"A04094";"Chemasir";"H/Facility";0.73404;34.39334
"A";"Busia";4;"Teso";95;"A04095";"Changara Mission";"H/Facility";0.73914;34.41626
"A";"Busia";4;"Teso";96;"A04096";"Changara Gok";"H/Facility";0.75379;34.34804
"A";"Busia";4;"Teso";97;"A04097";"Moding H/C";"H/Facility";0.69166;34.3606
"A";"Busia";4;"Teso";98;"A04098";"Kakapel";"Pri. School";0.67512;34.35346
